year,Admin,Archives,Arts,Automobiles,Blogs,Books,Booming,Briefing,Business Day,Climate,College,Corrections,Critic's Choice,Crosswords & Games,Editors Picks,Education,Fashion & Style,Feeds,Food,Giving,Global Home,Great Homes & Destinations,Guides,Health,Home & Garden,Homepage,International Home,Job Market,Lens,Magazine,Movies,Multimedia/Photos,NYT Now,Neediest Cases,New York,Obituaries,Open,Opinion,Parenting,Podcasts,Public Editor,Reader Center,Real Estate,Science,Slideshows,Smarter Living,Sports,Style,Sunday Review,T Brand,T Magazine,Technology,The Learning Network,The Upshot,The Weekly,Theater,Times Insider,Times Topics,Today’s Paper,Topics,Travel,U.S.,Universal,Unknown,UrbanEye,Video,Washington,Watching,Week in Review,Well,World,Your Money
1999,0,14802,5266,222,0,2549,0,0,13961,0,0,0,0,0,0,327,0,0,888,27,0,0,0,544,860,0,0,52,0,1844,2026,0,0,0,17649,0,0,7912,0,0,0,0,794,693,0,0,7921,2501,0,0,35,1392,0,0,0,622,0,0,0,0,1181,5223,0,32,0,0,0,0,1265,0,5673,0
2000,0,14165,5301,233,0,2631,0,0,14781,0,0,0,0,0,0,336,1,0,1023,30,0,0,0,540,857,0,0,148,0,1781,1990,0,0,0,18768,0,0,8079,0,0,0,0,795,864,0,0,8814,2536,0,0,60,3064,0,0,0,636,0,0,0,0,1303,7402,0,0,0,0,0,0,1346,0,5316,0
2001,0,14871,5554,267,0,2775,0,0,15575,4,0,1,0,0,0,656,111,0,1193,35,0,0,0,756,833,1,0,163,0,1980,1970,0,0,0,19935,43,0,8763,0,0,0,0,800,934,0,0,8785,2503,0,0,56,2452,12,0,0,674,0,0,0,0,1746,8266,0,81,0,0,0,0,1474,0,8005,35
2002,0,13228,5308,207,0,2816,0,0,15860,7,0,0,0,7,15,396,171,0,1274,43,0,17,0,672,1051,0,0,161,0,1956,2201,1,0,0,19340,67,0,8565,0,0,0,0,763,933,0,0,9235,2432,0,0,0,1440,2,0,0,827,0,0,0,0,1859,8264,0,90,0,0,0,0,1573,0,9061,120
2003,0,11568,5190,204,0,2793,0,0,15411,0,0,10,1,23,0,361,157,0,1182,36,0,12,0,592,964,0,0,111,0,2020,2168,0,0,0,19306,75,0,8876,0,0,0,0,733,923,0,0,8702,2441,0,0,0,1275,2,0,0,771,0,0,0,0,1874,7609,0,247,0,0,0,0,1336,0,10906,107
2004,0,12504,6149,299,0,2670,0,0,14145,0,1,118,0,1,0,469,357,0,734,17,0,0,0,871,708,0,0,72,0,1741,1431,0,0,0,18202,269,0,11356,0,0,0,0,970,647,0,0,7775,2799,0,0,5,1144,1,0,0,932,0,0,0,0,2085,9262,0,239,0,0,0,0,1220,0,8642,85
2005,0,13317,9810,284,0,2454,0,0,15625,0,0,193,0,0,0,397,592,0,464,20,0,82,0,1533,144,0,0,0,0,1509,60,1,0,0,18080,810,0,15095,0,0,0,0,1235,159,0,0,7721,3768,0,0,8,1606,3,0,0,1104,0,0,0,0,2551,7984,0,257,0,0,1,0,807,0,13488,322
2006,0,11342,12562,716,250,4303,0,0,25913,0,1,436,0,165,0,709,2241,0,1624,21,0,0,0,2031,436,0,0,90,0,2206,959,76,0,0,25838,964,0,16492,0,0,0,0,2471,839,0,0,12778,3513,0,0,19,1956,354,0,0,1590,0,1,0,0,3232,10742,0,107,0,0,1369,0,1262,0,13729,127
2007,0,0,7751,846,1159,2520,0,0,17693,0,1,2686,0,353,0,678,2981,0,1285,37,0,60,0,1092,575,0,0,63,0,1628,1359,170,0,0,12701,201,0,8083,0,0,0,0,1797,1115,0,0,9542,571,0,0,135,2415,0,0,0,1073,0,1,0,0,2120,7507,0,0,0,0,2333,0,1146,0,7280,0
2008,0,0,9208,932,5316,2547,0,0,20304,0,0,1709,0,414,0,496,2633,0,2200,32,0,486,0,1916,687,0,0,158,0,1267,1420,444,0,0,12040,86,0,8782,0,0,0,0,1547,1569,0,0,13141,756,0,0,1356,3016,0,0,0,1043,0,456,0,0,1897,10036,0,0,8,0,1081,0,3575,1,6320,15
2009,0,0,11612,1615,32683,2304,0,0,20456,0,0,941,67,639,0,785,2592,0,2430,21,0,559,0,3302,735,0,0,141,0,1085,1585,829,0,0,10671,127,0,7905,0,0,0,0,1214,2397,0,0,12531,644,0,0,1837,3678,1,0,0,1218,0,306,0,0,2091,8349,0,3,129,0,167,0,2270,0,6604,413
2010,0,8,10198,1641,768,2232,0,0,19183,0,0,475,0,924,0,1854,2784,0,1384,23,0,341,0,2888,728,0,0,103,0,1351,1663,1073,0,0,9632,85,0,8434,0,0,0,0,1160,2249,0,0,12105,1157,0,0,2573,2989,302,0,0,1138,0,107,0,0,1949,9131,0,1,194,0,1,0,1374,0,7122,1119
2011,0,0,8613,1654,1027,2057,0,0,11905,0,0,377,0,756,0,2280,3029,0,976,21,0,315,0,2263,731,1,0,105,0,1828,1691,1495,0,0,8488,15,0,9191,0,0,0,0,878,2238,0,0,10848,1845,74,0,2670,2722,53,0,0,1014,0,96,0,0,2106,9840,0,0,0,0,2,0,268,0,8474,1020
2012,0,3,8018,1438,683,1928,186,0,10986,0,0,420,0,709,0,2629,3632,0,1070,21,2,299,0,1702,723,0,0,103,0,1470,1598,1309,0,0,7538,12,0,9859,0,0,9,0,898,2191,0,0,11520,1947,118,0,2142,3270,0,0,0,964,0,66,0,0,1150,10018,0,0,0,0,0,0,0,0,9633,991
2013,0,0,8065,1216,759,1979,390,0,10087,0,0,676,0,723,0,1872,3593,0,981,16,1,320,0,1586,694,0,0,102,0,1180,1803,1299,0,0,7316,11,0,9412,0,0,21,0,871,1295,0,0,8177,1315,120,0,1823,2739,0,1,0,1054,0,33,0,0,1130,6734,0,0,0,0,3,0,1,0,8903,683
2014,0,6,7985,1068,1395,1922,33,0,9853,0,0,725,0,703,0,1385,3895,1,875,11,0,140,0,1522,566,1,7,89,0,974,1925,1313,4,0,6596,11,0,8448,0,0,20,0,865,1108,0,0,6430,284,98,0,2354,2317,0,1231,0,1029,3,48,0,0,1130,7698,0,0,0,0,0,0,0,0,9451,430
2015,1,0,8017,146,1197,2001,0,0,6623,0,0,652,0,688,0,1169,3777,0,916,13,0,1,0,1110,138,1,1,85,0,1070,1859,663,903,0,5814,21,0,7567,0,0,20,0,1306,1067,0,0,5885,415,62,0,2902,1788,2,977,0,991,185,48,49,1,1199,9372,22,0,0,0,0,0,0,0,9133,395
2016,3,1,6191,117,592,2007,0,302,5051,0,0,423,0,532,0,731,3980,0,1303,11,0,0,0,1059,0,0,1,107,0,932,1753,365,715,0,4557,99,0,7278,0,70,48,0,1242,1005,0,0,4934,222,30,0,1900,1473,333,806,0,1124,550,11,306,0,894,8347,60,0,0,0,0,58,0,286,7280,399
2017,69,0,5185,97,232,1986,0,1088,4336,274,0,369,0,466,0,87,3106,0,1255,0,0,0,0,422,0,1,10,74,0,907,1577,248,31,0,3459,275,0,6645,0,330,53,107,1202,720,1,137,3640,670,43,49,901,1221,1028,480,0,1020,626,0,363,0,871,6979,40,0,0,0,0,355,0,821,6285,283
2018,75,0,4650,4,14,2041,0,1157,3577,404,0,367,0,516,0,53,2083,0,1253,0,0,0,2,443,0,2,0,25,184,984,1498,743,0,43,3019,1156,3,7646,0,511,0,277,1142,665,0,241,3203,1260,49,40,746,1109,994,443,0,904,290,0,357,0,787,7196,7,1,0,1,26,163,0,754,5576,165
2019,44,0,4388,8,0,1912,0,1107,3159,378,0,372,0,494,0,37,1756,0,1261,0,0,0,12,552,0,2,0,0,79,809,1507,15,0,74,2195,703,0,5964,63,355,0,382,1164,685,0,252,2921,1371,37,75,632,757,978,327,26,832,22,0,348,0,636,8173,12,0,0,17,0,2,0,714,5500,148
